Track;Album Name;Artist;Release Date;ISRC;All Time Rank;Spotify Streams;Spotify Playlist Count;Spotify Playlist Reach
Savage Love (Laxed - Siren Beat);Savage Love (Laxed - Siren Beat);Jawsh 685;06/11/20;USSM12003798;276;1118038333;142905;27025973
Nonstop;Scorpion;Drake;6/29/2018;USCM51800191;1239;1118459427;175188;51548109
For The Night (feat. Lil Baby & DaBaby);Shoot For The Stars Aim For The Moon;Pop Smoke;07/03/20;USUM72013355;325;1119350842;272485;46626350
Stuck with U (with Justin Bieber);Stuck with U;Ariana Grande;05/08/20;USUM72009644;1321;1120501187;116269;56772519
Dangerous Woman;Dangerous Woman;Ariana Grande;03/11/16;USUM71601826;1934;1120622892;104167;39070160
This Girl (Kungs Vs. Cookin' On 3 Burners);This Girl (Kungs Vs. Cookin' On 3 Burners);Kungs;2/19/2016;FR9W11601798;1719;1121107262;193004;76999574
It's You;It's You;Ali Gatie;6/14/2019;USWB11901154;1292;1123039235;140766;29272883
Drag Me Down;Drag Me Down;One Direction;7/31/2015;GBHMU1500070;2921;1125333823;110189;62083784
Starships;Crave Volume 7;Nicki Minaj;01/01/12;USCM51200060;2225;1125407888;189848;71457898
What You Know Bout Love;Shoot For The Stars Aim For The Moon;Pop Smoke;07/03/20;USUM72013339;193;1125681368;251023;32574699
Animals;Full Circle: The Live Anthology;Maroon 5;11/20/2011;USUM71409576;1772;1365755853;183681;46890920
golden hour;golden hour;JVKE;7/15/2022;GBKPL2204171;183;1126986320;200887;45885823
abcdefu;abcdefu;GAYLE;8/13/2021;USAT22103652;206;1128273165;193857;61311826
Breaking Me;Breaking Me (feat. A7S);Topic;12/19/2019;DEUM71906724;590;1128612961;184002;50489973
Outside (feat. Ellie Goulding);Full Circle: The Live Anthology;Calvin Harris;11/20/2011;GBARL1401201;1708;1128783268;167396;68560436
Bring Me To Life;Fallen;Evanescence;01/01/03;USWU30200093;3963;1129346989;229491;68545536
Animals;Animals - Single;Martin Garrix;01/01/13;NLZ541300467;3957;413855724;67911;11433179
FourFiveSeconds;FourFiveSeconds;Rihanna;1/24/2015;USJMT1500001;3374;1134470968;131102;42604016
White Iverson;White Iverson;Post Malone;6/13/2013;USUM71511528;3918;1135209969;158507;27779312
Bruises;Bruises;Lewis Capaldi;3/31/2017;GBKPL1778698;357;1135588382;132498;38683695
Romantic Homicide;Romantic Homicide;d4vd;7/20/2022;QZMEM2232831;308;1136504636;152157;60605828
Budapest;Did You Hear the Rain?;George Ezra;11/03/13;GBARL1400477;3646;1142061871;140545;43438732
